zone, diagnosed, cure, death
湖北, 56249, 5623, 1596
河南, 1231, 397, 13
湖南, 1001, 425, 2
江西, 913, 210, 1
重庆, 544, 184, 5
四川, 481, 127, 3
北京, 375, 98, 4
河北, 300, 100, 3
广西, 237, 46, 2
云南, 168, 42, 0
贵州, 143, 45, 1
天津, 122, 37, 3
甘肃, 90, 49, 2
宁夏, 70, 33, 0
内蒙古, 68, 7, 0
台湾, 18, 2, 0
澳门, 10, 3, 0
广东, 1294, 413, 2
浙江, 1162, 427, 0
安徽, 950, 232, 6
江苏, 604, 185, 0
山东, 537, 164, 2
黑龙江, 445, 70, 11
上海, 328, 124, 1
福建, 287, 77, 0
陕西, 232, 57, 0
海南, 162, 39, 4
山西, 128, 46, 0
辽宁, 119, 34, 1
吉林, 89, 28, 1
新疆, 70, 11, 1
香港, 56, 1, 1
青海, 18, 13, 0
西藏, 1, 1, 0
